Animal,Category,Scales,Fur,Feathers,Legs,Habitat,Diet,Lays Eggs,Flies,Speed (mph),Changes Color,Has A Pouch,Domesticated,Poisonous or Venomous,Nocturnal,Hibernates,Breathes Under Water,Lives in Groups,Metamorphosis,Average Lifespan,Teeth,Temperature,Common Pet,Wings,Weight (lbs),Height (inches),Colors,Endangered,Has Tail,Has Dorsal Fin,Pattern,Preferred Environment Temperature,Human Interaction,Territory Size (sq miles),Intelligence Level,Tree Climbing,Fishing Ability,Speech Capability,Eggs per Clutch,Clutches per Year,Cheek Pouches,Social Bonding Level,Hoarding Behavior,Human Usage Products,Group Size,Nest Location,Diet Preferences,Migration,Hunting Technique,Burrowing Behavior
Elephant,Mammal,No,Fur,No,4,Forests;Savannas,Herbivore,No,No,25,No,No,No,No,No,No,No,Yes,No,65,Yes,Warm,No,No,13000,120,Gray;Brown,Yes,Yes,No,Textured,80,Tolerant,100,Abstract Thinker,Poor,Poor,Basic Vocalizations,0,0,No,Colonial,No,Ivory;Tourism,20,Ground Level,Grass;Leaves;Fruit,Seasonal,Grazing,Non-Burrowing
Elk,Mammal,No,Fur,No,4,Forest,Herbivore,No,No,45,No,No,No,No,No,No,No,Yes,No,20,Yes,Cold,No,No,800,57,Brown;Tan,No,Yes,No,Solid,60,Cautious,10,Learning,Poor,Poor,Basic,0,1,No,Colonial,No,Meat;Hide;Tourism,25,Ground Cover,Grass;Plants,Seasonal,Grazing;Browsing,Non-Burrowing
Fennec Fox,Mammal,No,Fur,No,4,Desert,Omnivore,No,No,25,No,No,Yes,No,Yes,No,No,Yes,No,12,Yes,Warm,Yes,No,3,8,Cream;White,No,Yes,No,Solid,90,Cautious,1,Complex Learner,Good,Poor,Basic,0,0.7,No,Family,Simple,Pets;Tourism,4,Underground Den,Insects;Small Prey,No,Pouncing;Digging,Tunneling
Ferret,Mammal,No,Fur,No,4,Various,Carnivore,No,No,15,No,No,Yes,No,Yes,No,No,Yes,No,8,Yes,Warm,Yes,No,3,15,Multiple,No,Yes,No,Solid,70,Dependent,0,Complex Learner,Good,Poor,Basic,0,0,No,Colonial,Simple,Pets;Hunting,8,Underground,Small Mammals;Birds,No,Stalking;Tunneling,Non-Burrowing
Fire-Bellied Toad,Amphibian,No,No,No,4,Semi-aquatic,Carnivore,Yes,No,3,No,No,Yes,Poisonous,No,No,No,Yes,Yes,12,No,Cold,Yes,No,0.1,2,Green;Red,No,No,No,Mottled,70,Dependent,0,Learning,Poor,Poor,Basic,40,2,No,Social,No,Pets;Research,5,Water Edge,Insects;Worms,No,Ambush;Tongue Strike,Non-Burrowing
Fire-bellied Newt,Amphibian,No,No,No,4,Wetland,Carnivore,Yes,No,0.5,No,No,Yes,Poisonous,No,No,Yes,No,Yes,15,No,Cold,Yes,No,0.035,3,Black;Red,No,Yes,No,Two-toned,68,Dependent,0,Learning,Poor,Poor,Basic,200,2,No,Social,No,Pets;Research,5,Water Edge,Insects;Worms,No,Stalking;Ambush,Non-Burrowing
Flamingo,Bird,No,No,Yes,2,Wetland,Omnivore,Yes,Yes,35,No,No,No,No,No,No,No,Yes,No,20,No,Warm,No,Yes,6,52,Pink;White;Red,No,Yes,No,Solid,75,Cautious,1,Learning,Poor,Good,Basic,1,1,No,Colonial,Complex,Pets,50,Mudflat,Algae;Small Crustaceans,Yes,Filter Feeding,Non-Burrowing
Flying Dragon Lizard,Reptile,Yes,No,No,4,Forest,Carnivore,Yes,Glides,8,Yes,No,No,No,No,No,No,No,No,10,Yes,Warm,No,Yes,0.14,8,Green;Orange;Brown,No,Yes,No,Various,80,Fearful,0.1,Learning,Professional,Poor,Basic,4,2,No,Solitary,No,Tourism;Research,1,Tree Holes,Insects,No,Gliding;Ambush,Non-Burrowing
Flying Fish,Fish,Yes,No,No,0,Marine,Carnivore,Yes,Glides,35,No,No,No,No,No,No,Yes,Yes,No,5,Yes,Cold,No,Yes,2,18,Blue;Silver,No,Yes,Yes,Solid,72,Fearful,0,Learning,Poor,Professional,None,50,4,No,School,No,Food,100,Open Ocean,Plankton;Small Fish,Yes,Surface Feeding;Gliding,Non-Burrowing
Fox,Mammal,No,Fur,No,4,Various,Omnivore,No,No,30,No,No,No,No,Yes,No,No,No,No,12,Yes,Warm,No,No,15,15,Red;White,No,Yes,No,Solid,65,Cautious,2,Complex Learner,Good,Poor,Basic,0,0,No,Family,Simple,Fur,4,Underground,Small Mammals;Birds;Berries,No,Stalking;Pouncing,Tunneling
Garter Snake,Reptile,Yes,No,No,0,Various,Carnivore,Yes,No,8,No,No,No,No,No,Yes,No,No,No,4,Yes,Warm,No,No,0.3,36,Green;Yellow;Black,No,Yes,No,Striped,72,Neutral,0.1,Learning,Poor,Poor,Basic,20,2,No,Solitary,No,Pets;Research,1,Ground Cover,Amphibians;Worms,No,Active Foraging;Striking,Non-Burrowing
Gazelle,Mammal,No,Fur,No,4,Savanna,Herbivore,No,No,60,No,No,No,No,No,No,No,Yes,No,12,Yes,Warm,No,No,95,36,Tan;White,Yes,Yes,No,Solid,85,Fearful,5,Learning,Poor,Poor,Basic,0,1,No,Colonial,No,Meat;Tourism,50,Ground Depression,Grass,Seasonal,Grazing;Browsing,Non-Burrowing
Gerbil,Mammal,No,Fur,No,4,Desert,Omnivore,No,No,8,No,No,Yes,No,Yes,No,No,Yes,No,4,Yes,Warm,Yes,No,0.15,4,Multiple,No,Yes,No,Solid,75,Dependent,0,Learning,Poor,Poor,Basic,0,0.7,Yes,Colonial,Complex,Pets;Research,8,Underground Burrow,Seeds;Plants,No,Foraging;Digging,Tunneling
Gharial,Reptile,Yes,No,No,4,River,Carnivore,Yes,No,15,No,No,No,No,No,No,Yes,No,No,50,Yes,Warm,No,No,350,240,Olive;Gray;Brown,Yes,Yes,No,Solid,80,Fearful,2,Learning,Poor,Professional,Basic,40,2,No,Solitary,No,Tourism;Conservation,1,River Bank,Fish,No,Ambush;Snapping,Non-Burrowing
Giraffe,Mammal,No,Fur,No,4,Grassland,Herbivore,No,No,35,No,No,No,No,No,No,No,Yes,Yes,25,Yes,Warm,No,No,2200,216,Tan;Brown;White Patches,Yes,Yes,No,Patched,80,Cautious,10,Learning,Poor,Poor,Basic,0,0,No,Colonial,No,Tourism,15,Ground Level,Leaves;Fruits,No,Grazing,Non-Burrowing
Goat,Mammal,No,Fur,No,4,Various,Herbivore,No,No,25,No,No,Yes,No,No,No,No,Yes,No,15,Yes,Warm,Yes,No,150,30,Multiple,No,Yes,No,Various,70,Dependent,0,Problem Solver,Good,Poor,Basic Vocalizations,0,0,No,Colonial,No,Meat;Milk;Hair,30,Ground Level,Grass;Leaves;Bark,No,Grazing,Non-Burrowing
Goldfish,Fish,Yes,No,No,0,Freshwater,Omnivore,Yes,No,3,No,No,Yes,No,No,No,Yes,Yes,No,15,No,Cold,Yes,No,0.5,12,Red;Orange;Yellow;White;Black,No,Yes,Yes,Various,68,Dependent,0,Learning,Poor,Poor,None,1000,4,No,Social,No,Pets,6,Open Ocean,Fish Food;Plants,No,Filter Feeding,Non-Burrowing
Gorilla,Mammal,No,Fur,No,4,Forest,Herbivore,No,No,25,No,No,No,No,No,No,No,Yes,No,40,Yes,Warm,No,No,400,67,Black,Yes,No,No,Solid,70,Cautious,15,Abstract Thinker,Good,Poor,Complex Vocalizations,0,0,No,Colonial,No,Tourism,15,Ground Level,Leaves;Fruits;Bamboo,No,Grazing,Non-Burrowing
Grasshopper,Insect,No,No,No,6,Various,Herbivore,Yes,Yes,10,No,No,No,No,No,No,No,Yes,Yes,0.3,No,Warm,No,Yes,0.001,2,Green;Brown,No,Yes,No,Solid,75,Neutral,0.01,Simple,Poor,Poor,None,100,3,No,Groups,No,Pest Control,50,Grass,Plants,No,Chewing,Non-Burrowing
Green Cheek Conure,Bird,No,No,Yes,2,Domestic,Omnivore,Yes,Yes,20,No,No,Yes,No,No,No,No,Yes,No,25,No,Warm,Yes,Yes,0.3,10,Green;Red;Yellow,No,Yes,No,Multi-colored,75,Dependent,0,Complex Learner,Professional,Poor,Basic Speech,4,1.2,No,Pairs,No,Pets;Entertainment,2,Tree Cavity,Seeds;Fruits,No,Foraging;Crushing,Non-Burrowing
Green Iguana,Reptile,Yes,No,No,4,Tropical,Herbivore,Yes,No,21,No,No,Yes,No,No,No,No,No,No,20,Yes,Warm,Yes,No,11,72,Green,No,Yes,No,Solid,85,Dependent,0,Learning,Professional,Poor,Basic,40,1.5,No,Solitary,No,Pets;Leather,1,Ground Burrow,Leaves;Fruits,No,Browsing;Climbing,Non-Burrowing
Groundhog,Mammal,No,Fur,No,4,Various,Herbivore,No,No,15,No,No,No,No,No,Yes,No,No,No,6,Yes,Warm,No,No,13.5,18,Brown,No,Yes,No,Solid,70,Cautious,0.1,Learning,Poor,Poor,Basic,0,1,Yes,Solitary,Simple,Pest Control;Research,1,Underground Burrow,Plants;Vegetables,No,Grazing;Browsing,Tunneling
Guinea Fowl,Bird,No,No,Yes,2,Various,Omnivore,Yes,Yes,15,No,No,Yes,No,No,No,No,Yes,No,10,No,Warm,No,Yes,3.5,22,Gray;White Spots,No,Yes,No,Spotted,75,Dependent,0,Learning,Poor,Poor,Basic,15,1,No,Colonial,No,Meat;Eggs;Pest Control,20,Ground Cover,Seeds;Insects,No,Scratching;Pecking,Non-Burrowing
Guinea Pig,Mammal,No,Fur,No,4,Domestic,Herbivore,No,No,3,No,No,Yes,No,No,No,No,Yes,No,8,Yes,Warm,Yes,No,2.5,4,Multiple,No,Yes,No,Various,72,Dependent,0,Learning,Poor,Poor,Basic,0,4,Yes,Colonial,Yes,Pets;Research,6,Ground Level,Hay;Vegetables,No,Grazing;Foraging,Non-Burrowing
Guppy,Fish,Yes,No,No,0,Freshwater,Omnivore,Yes,No,2,No,No,Yes,No,No,No,Yes,Yes,No,2,Yes,Warm,Yes,No,0.1,2,Multiple,No,Yes,Yes,Various,75,Dependent,0,Learning,Poor,Poor,None,60,12,No,Social,No,Pets,10,Plants,Fish Food;Algae,No,Grazing,Non-Burrowing
Hammerhead Shark,Fish,Yes,No,No,0,Marine,Carnivore,Yes,No,25,No,No,No,No,No,No,Yes,Yes,No,30,Yes,Warm,No,No,500,144,Gray,Yes,Yes,Yes,Solid,72,Fearful,100,Learning,Poor,Professional,None,30,4,No,School,No,Tourism;Research,25,Open Ocean,Fish;Squid,Yes,Active Hunting;Electroreception,Non-Burrowing
Hamster,Mammal,No,Fur,No,4,Various,Omnivore,No,No,8,No,No,Yes,No,Yes,No,No,No,No,2,Yes,Warm,Yes,No,0.25,2,Multiple,No,Yes,No,Various,72,Dependent,0,Learning,Poor,Poor,Basic,0,0,Yes,Solitary,Complex,Pets,1,Underground,Seeds;Insects;Vegetables,No,Foraging,Simple Burrower
Harpy Eagle,Bird,No,No,Yes,2,Rainforest,Carnivore,Yes,Yes,50,No,No,No,No,No,No,No,No,No,35,No,Warm,No,Yes,20,40,Black;White;Gray,Yes,Yes,No,Two-toned,75,Fearful,25,Complex Learner,Professional,Excellent,Basic,2,1,No,Pairs,No,Tourism;Conservation,2,Emergent Trees,Monkeys;Sloths,No,Aerial Attack;Ambush,Non-Burrowing
Hedgehog,Mammal,No,Fur,No,4,Various,Insectivore,No,No,4,No,No,Yes,No,Yes,Yes,No,No,No,4,Yes,Warm,Yes,No,1.5,6,Brown;White,No,Yes,No,Solid,70,Tolerant,0.1,Learning,Poor,Poor,Basic,0,0,No,Solitary,No,Pets,1,Underground,Insects;Worms;Snails,No,Foraging,Non-Burrowing
Hippopotamus,Mammal,No,Fur,No,4,River,Herbivore,No,No,19,No,No,No,No,No,No,Yes,Yes,No,45,Yes,Warm,No,No,3300,60,Gray;Pink;Brown,No,Yes,No,Solid,85,Aggressive,1,Complex Learner,Poor,Good,Basic,0,0,No,Colonial,No,Meat;Hide,20,Water's Edge,Grass;Aquatic Plants,No,Grazing,Non-Burrowing
Honeybee,Insect,No,No,No,6,Various,Herbivore,Yes,Yes,15,No,No,No,Venomous,No,No,No,Yes,Yes,0.2,No,Warm,No,Yes,0.00025,0.5,Yellow;Black,Yes,No,No,Striped,75,Social,0,Learning,Poor,Poor,None,1500,3,No,Colonial,Complex,Honey;Wax;Pollination,50000,Hive,Nectar;Pollen,No,Nectar Collection;Pollen Gathering,Non-Burrowing
Horned Lizard,Reptile,Yes,No,No,4,Desert,Carnivore,Yes,No,5,Yes,No,No,No,No,No,No,No,No,8,Yes,Warm,No,No,0.15,4,Brown;Tan,No,Yes,No,Camouflaged,90,Fearful,0.1,Learning,Poor,Poor,Basic,30,1.4,No,Solitary,No,Research;Education,1,Sandy Burrow,Ants;Insects,No,Ambush;Tongue Capture,Simple Burrower
Horse,Mammal,No,No,No,4,Various,Herbivore,No,No,55,No,No,Yes,No,No,No,No,Yes,No,27,Yes,Warm,Yes,No,1000,66,Multiple,No,Yes,No,Various,65,Dependent,0,Complex Learner,Poor,Poor,Basic Vocalizations,0,0,No,Colonial,No,Transport;Sport;Work,20,Ground Level,Grass;Hay,No,Grazing,Non-Burrowing
House Finch,Bird,No,No,Yes,2,Various,Herbivore,Yes,Yes,20,No,No,No,No,No,No,No,Yes,No,5,No,Warm,No,Yes,0.07,6,Red;Brown,No,Yes,No,Solid,70,Tolerant,0.1,Learning,Poor,Poor,Basic,5,1,No,Colonial,Simple,Tourism;Education,15,Building Ledges,Seeds;Fruits,Some,Picking;Gleaning,Non-Burrowing
House Fly,Insect,No,No,No,6,Various,Omnivore,Yes,Yes,5,No,No,No,No,No,No,No,Yes,Yes,0.1,No,Warm,No,Yes,0.0001,0.25,Black,No,No,No,Solid,72,Social,0,Simple,Poor,Poor,None,150,3,No,Groups,No,Research;Education,50,Organic Matter,Decomposing Matter,No,Scavenging;Lapping,Non-Burrowing
House Spider,Arachnid,No,Hair,No,8,Various,Carnivore,Yes,No,1,No,No,No,No,Yes,No,No,No,No,1,No,Warm,No,No,0.001,1,Brown;Black,No,No,No,Solid,72,Neutral,0.01,Learning,Professional,Poor,None,100,2,No,Solitary,No,Pest Control;Research,1,Web,Insects,No,Web Trapping;Ambush,Non-Burrowing
Hummingbird,Bird,No,No,Yes,2,Various,Omnivore,Yes,Yes,30,No,No,No,No,No,No,No,No,No,4,No,Warm,No,Yes,0.01,4,Green;Red;Multiple,No,Yes,No,Iridescent,75,Tolerant,0.1,Learning,Professional,Good,Basic,2,2,No,Solitary,No,Pets,1,Tree Branch,Nectar;Insects,Yes,Hovering,Non-Burrowing
Hyena,Mammal,No,Fur,No,4,Savanna,Carnivore,No,No,40,No,No,No,No,Yes,No,No,Yes,No,25,Yes,Warm,No,No,140,30,Gray;Brown;Black,No,Yes,No,Spotted,85,Fearful,40,Complex Learner,Good,Poor,Complex,0,1,No,Clan,Simple,Tourism;Research,15,Den,Large Mammals;Carrion,No,Pack Hunting;Scavenging,Burrow User
Jaguar,Mammal,No,Fur,No,4,Forest,Carnivore,No,No,50,No,No,No,No,Yes,No,No,No,No,15,Yes,Warm,No,No,200,30,Yellow;Black,Yes,Yes,No,Spotted,80,Fearful,25,Complex Learner,Professional,Good,Basic,0,0,No,Solitary,No,Tourism,1,Tree Branch,Large Mammals;Fish,No,Stalking;Ambush,Burrow User
Jellyfish,Cnidarian,No,No,No,0,Marine,Carnivore,Yes,No,8,Yes,No,No,Venomous,No,No,Yes,Yes,No,1,No,Cold,No,No,0.5,12,Clear;Blue;Pink;Purple,No,No,No,Clear,65,Neutral,0,Simple,Poor,Professional,None,45000,2,No,Bloom,No,Research;Education,1000,Open Ocean,Plankton;Small Fish,Yes,Stinging;Drifting,Non-Burrowing
Kangaroo,Mammal,No,Fur,No,4,Grassland,Herbivore,No,No,40,No,Yes,No,No,No,No,No,Yes,No,22,Yes,Warm,No,No,150,72,Brown;Gray,No,Yes,No,Solid,75,Cautious,15,Learning,Poor,Poor,Basic,0,0,No,Colonial,No,Meat;Leather,50,Ground Level,Grass;Leaves,No,Grazing,Burrow User
Koala,Mammal,No,Fur,No,4,Forest,Herbivore,No,No,20,No,Yes,No,No,Yes,No,No,No,No,15,Yes,Warm,No,No,30,30,Gray,Yes,Yes,No,Solid,75,Cautious,0.1,Learning,Professional,Poor,Basic,0,0,No,Solitary,No,Tourism,1,Tree Branch,Eucalyptus Leaves,No,Grazing,Non-Burrowing
Koi,Fish,Yes,No,No,0,Freshwater,Omnivore,Yes,No,4,No,No,Yes,No,No,No,Yes,Yes,No,40,Yes,Warm,Yes,No,25,24,Multiple,No,Yes,Yes,Various,65,Dependent,0,Learning,Poor,Poor,None,500000,1,No,Social,No,Ornamental,15,Pond,Fish Food;Plants,No,Filter Feeding,Non-Burrowing
Komodo Dragon,Reptile,Yes,No,No,4,Islands;Tropical,Carnivore,Yes,No,13,No,No,No,Venomous,No,No,No,No,No,30,Yes,Warm,No,No,150,36,Gray;Brown,Yes,Yes,No,Solid,85,Aggressive,5,Complex Learner,Good,Poor,Basic,20,1,No,Solitary,No,Tourism,1,Ground Nest,Large Mammals;Carrion,No,Stalking;Venomous Bite,Non-Burrowing
Ladybug,Insect,No,No,No,6,Various,Carnivore,Yes,Yes,0.1,No,No,No,No,No,Yes,No,Yes,Yes,1,No,Warm,No,Yes,0.0001,0.25,Red;Black,No,No,No,Spotted,70,Neutral,0,Simple,Poor,Poor,None,20,4,No,Groups,No,Pest Control,10,Plants,Aphids;Scale Insects,Yes,Hunting,Non-Burrowing
Leopard,Mammal,No,Fur,No,4,Various,Carnivore,No,No,58,No,No,No,No,Yes,No,No,No,No,17,Yes,Warm,No,No,130,28,Yellow;Black Spots,Yes,Yes,No,Spotted,80,Fearful,15,Complex Learner,Professional,Poor,Basic,0,0,No,Solitary,Simple,Tourism,1,Tree Branch,Medium Mammals;Small Mammals,No,Stalking;Ambush,Burrow User
Leopard Gecko,Reptile,Yes,No,No,4,Desert,Carnivore,Yes,No,3,No,No,Yes,No,Yes,No,No,No,No,15,Yes,Warm,Yes,No,0.15,8,Yellow;Black Spots,No,Yes,No,Spotted,85,Dependent,0,Learning,Good,Poor,Basic,2,1.4,No,Solitary,No,Pets;Education,1,Rock Crevices,Insects;Worms,No,Stalking;Pouncing,Non-Burrowing
Lion,Mammal,No,Fur,No,4,Savanna,Carnivore,No,No,50,No,No,No,No,Yes,No,No,Yes,No,15,Yes,Warm,No,No,400,48,Tan,Yes,Yes,No,Solid,85,Fearful,100,Complex Learner,Poor,Poor,Basic Vocalizations,0,0,No,Colonial,No,Tourism,15,Ground Level,Large Mammals;Medium Mammals,No,Pack Hunting;Ambush,Burrow User
Lionfish,Fish,Yes,No,No,0,Marine,Carnivore,Yes,No,5,No,No,No,Venomous,Yes,No,Yes,No,No,15,Yes,Warm,No,No,2.5,15,Red;White;Brown,No,Yes,Yes,Striped,78,Fearful,0.1,Learning,Poor,Professional,None,30000,4,No,Solitary,No,Pets,1,Reef,Small Fish;Crustaceans,No,Venomous Spines,Non-Burrowing
Llama,Mammal,No,Fur,No,4,Mountain,Herbivore,No,No,35,No,No,Yes,No,No,No,No,Yes,No,20,Yes,Warm,No,No,400,72,Brown;White,No,Yes,No,Solid,65,Tolerant,0,Learning,Poor,Poor,Basic,0,0,No,Colonial,No,Wool;Transport,15,Ground Level,Grass;Hay,No,Grazing,Non-Burrowing
Lobster,Crustacean,No,No,No,10,Marine,Omnivore,Yes,No,5,No,No,No,No,Yes,No,Yes,No,No,50,No,Cold,No,No,4,24,Red;Brown,No,Yes,No,Solid,65,Neutral,0.1,Learning,Poor,Professional,None,10000,1,No,Solitary,No,Food,1,Ocean Floor,Fish;Mollusks,No,Scavenging,Non-Burrowing
Macaw,Bird,No,No,Yes,2,Forest,Herbivore,Yes,Yes,35,No,No,Yes,No,No,No,No,Yes,No,50,No,Warm,Yes,Yes,2,30,Multiple,Yes,Yes,No,Multicolor,85,Dependent,0,Tool User,Professional,Poor,Advanced Speech,2,1,No,Pairs,No,Pets;Entertainment,2,Tree Cavity,Seeds;Nuts;Fruits,No,Foraging,Non-Burrowing
Madagascar Hissing Cockroach,Insect,No,No,No,6,Tropical,Omnivore,Yes,No,3,No,No,Yes,No,Yes,No,No,Yes,Yes,2,Yes,Warm,Yes,No,0.02,3,Brown,No,Yes,No,Solid,80,Dependent,0,Simple,Poor,Poor,None,60,4.5,No,Colonial,No,Pets;Education,100,Ground Litter,Plant Matter,No,Scavenging,Non-Burrowing
Mantis Shrimp,Crustacean,No,No,No,8,Marine;Coral Reef,Carnivore,Yes,No,50,Yes,No,No,Venomous,No,No,Yes,No,No,6,No,Warm,No,No,0.5,7,Multiple,No,Yes,No,Iridescent,75,Neutral,0.01,Complex Learner,Poor,Professional,None,50,3,No,Solitary,No,Research;Education,1,Burrow,Crustaceans;Mollusks,No,Striking;Spearing,Non-Burrowing
Meerkat,Mammal,No,Fur,No,4,Desert,Omnivore,No,No,20,No,No,No,No,No,No,No,Yes,No,8,Yes,Warm,No,No,2,12,Tan;Brown,No,Yes,No,Solid,85,Cautious,2,Complex Learner,Poor,Poor,Complex,0,0,No,Colonial,No,Tourism,20,Underground,Insects;Small Vertebrates,No,Group Hunting;Foraging,Tunneling
Moose,Mammal,No,Fur,No,4,Forest,Herbivore,No,No,35,No,No,No,No,No,No,No,No,No,20,Yes,Cold,No,No,1500,108,Brown;Black,No,Yes,No,Solid,45,Cautious,10,Learning,Poor,Poor,Basic,0,0,No,Solitary,No,Meat;Hide,1,Forest Floor,Leaves;Bark;Aquatic Plants,Seasonal,Grazing,Non-Burrowing
Mosquito,Insect,No,No,No,6,Various,Carnivore,Yes,Yes,1.5,No,No,No,No,Yes,No,No,Yes,Yes,0.1,No,Warm,No,Yes,0.00001,0.25,Gray;Black,No,No,No,Solid,75,Social,0,Simple,Poor,Poor,None,100,4,No,Swarms,No,Pest Control,1000,Water Surface,Blood;Nectar,Yes,Blood Feeding,Non-Burrowing
Mountain Lion,Mammal,No,Fur,No,4,Various,Carnivore,No,No,50,No,No,No,No,Yes,No,No,No,No,20,Yes,Warm,No,No,220,30,Tan,No,Yes,No,Solid,65,Fearful,150,Complex Learner,Professional,Poor,Basic,0,1,No,Solitary,Simple,Tourism;Fur,1,Cave;Rock Shelter,Large Mammals;Deer,No,Stalking;Ambush,Burrow User
Mule,Mammal,No,Fur,No,4,Various,Herbivore,No,No,20,No,No,Yes,No,No,No,No,Yes,No,40,Yes,Warm,No,No,950,60,Brown;Black,No,Yes,No,Solid,70,Dependent,0,Complex Learner,Poor,Poor,Basic,0,1,No,Colonial,No,Transport;Labor,10,Ground Level,Grass;Hay,No,Grazing;Browsing,Non-Burrowing
Muscovy Duck,Bird,No,No,Yes,2,Semi-aquatic,Omnivore,Yes,Yes,15,No,No,Yes,No,No,No,Yes,Yes,No,12,No,Warm,Yes,Yes,15,30,Black;White,No,Yes,No,Various,70,Dependent,0,Learning,Poor,Good,Basic,12,1,No,Colonial,No,Meat;Eggs,15,Ground Near Water,Plants;Insects,No,Dabbling;Grazing,Non-Burrowing
Narwhal,Mammal,No,No,No,0,Arctic Ocean,Carnivore,No,No,20,No,No,No,No,No,No,Yes,Yes,No,50,Yes,Cold,No,No,1800,180,Gray;White;Black,No,Yes,Yes,Solid,32,Fearful,1000,Complex Learner,Poor,Professional,Basic,0,1,No,Colonial,No,Tourism;Traditional Use,20,Open Ocean,Fish;Squid,Seasonal,Deep Diving;Suction Feeding,Non-Burrowing
Neon Tetra,Fish,Yes,No,No,0,Freshwater,Omnivore,Yes,No,2,No,No,Yes,No,No,No,Yes,Yes,No,5,Yes,Warm,Yes,No,0.003,1.5,Blue;Red;Silver,No,Yes,Yes,Striped,75,Dependent,0,Learning,Poor,Poor,None,60,4,No,Social,No,Pets,20,Plants,Fish Food;Microorganisms,No,Picking;Surface Feeding,Non-Burrowing
Octopus,Mollusk,No,No,No,8,Ocean,Carnivore,Yes,No,25,Yes,No,No,No,Yes,No,Yes,No,No,5,No,Warm,No,No,110,180,Red;White,No,No,No,Mottled,45,Cautious,0.5,Tool User,Poor,Professional,None,100000,1,No,Solitary,No,Food;Research,1,Den;Rock Crevice,Crustaceans;Mollusks,No,Ambush;Tool Use,Non-Burrowing
Orangutan,Mammal,No,Fur,No,4,Forest,Omnivore,No,No,15,No,No,No,No,No,No,No,No,No,50,Yes,Warm,No,No,200,54,Red;Brown,Yes,No,No,Solid,80,Cautious,10,Abstract Thinker,Professional,Poor,Complex Vocalizations,0,0,No,Solitary,No,Tourism,1,Tree Branch,Fruits;Leaves;Insects,No,Grazing,Non-Burrowing
