Animal,Category,Scales,Fur,Feathers,Legs,Habitat,Diet,Lays Eggs,Flies,Speed (mph),Changes Color,Has A Pouch,Domesticated,Poisonous or Venomous,Nocturnal,Hibernates,Breathes Under Water,Lives in Groups,Metamorphosis,Average Lifespan,Teeth,Temperature,Common Pet,Wings,Weight (lbs),Height (inches),Colors,Endangered,Has Tail,Has Dorsal Fin,Pattern,Preferred Environment Temperature,Human Interaction,Territory Size (sq miles),Intelligence Level,Tree Climbing,Fishing Ability,Speech Capability,Eggs per Clutch,Clutches per Year,Cheek Pouches,Social Bonding Level,Hoarding Behavior,Human Usage Products,Group Size,Nest Location,Diet Preferences,Migration,Hunting Technique,Burrowing Behavior
Orca,Mammal,No,No,No,0,Ocean,Carnivore,No,No,34,No,No,No,No,No,No,Yes,Yes,No,90,Yes,Cold,No,No,22000,300,Black;White,No,Yes,Yes,Bi-colored,45,Social,1500,Abstract Thinker,Poor,Professional,Complex Vocalizations,0,0,No,Family,No,Tourism,25,Ground Level,Fish;Marine Mammals,Ocean,Pack Hunting;Echolocation,Non-Burrowing
Ostrich,Bird,No,No,Yes,2,Grassland,Omnivore,Yes,No,45,No,No,Yes,No,No,No,No,Yes,No,40,No,Warm,No,No,290,108,Black;White,No,Yes,No,Bi-colored,80,Cautious,1,Learning,Poor,Good,Basic,12,4,No,Colonial,No,Meat;Feathers;Eggs,10,Ground Level,Plants;Seeds;Small Animals,No,Foraging,Non-Burrowing
Otter,Mammal,No,Fur,No,4,River,Carnivore,No,No,18,No,No,No,No,No,No,Yes,Yes,No,9,Yes,Warm,No,No,20,24,Brown,No,Yes,No,Solid,65,Tolerant,1,Complex Learner,Good,Professional,Basic,0,0,No,Family,No,Tourism,8,River Bank,Fish;Crustaceans,No,Diving;Tool Use,Non-Burrowing
Owl,Bird,No,No,Yes,2,Various,Carnivore,Yes,Yes,40,No,No,No,No,Yes,No,No,No,No,18,No,Warm,No,Yes,3,24,Brown;White,Yes,Yes,No,Mottled,65,Cautious,1,Complex Learner,Professional,Good,Basic,4,1,No,Solitary,No,Pets,1,Tree Cavity,Small Mammals;Birds,No,Silent Flight;Ambush,Non-Burrowing
Panda,Mammal,No,Fur,No,4,Forest,Herbivore,No,No,20,No,No,No,No,No,No,No,No,No,20,Yes,Cold,No,No,250,72,Black;White,Yes,Yes,No,Bi-colored,65,Cautious,2,Learning,Good,Poor,Basic,0,0,No,Solitary,No,Tourism,1,Ground Level,Bamboo,No,Grazing,Non-Burrowing
Pangolin,Mammal,Yes,Fur,No,4,Various,Insectivore,No,No,3,No,No,No,No,Yes,No,No,No,No,20,No,Warm,No,No,33,24,Brown,Yes,Yes,No,Scaled,75,Fearful,0.5,Learning,Good,Poor,Basic,0,0,No,Solitary,No,Tourism,1,Underground,Ants;Termites,No,Tongue Hunting;Digging,Tunneling
Peacock,Bird,No,No,Yes,2,Various,Omnivore,Yes,Yes,10,No,No,Yes,No,No,No,No,Yes,No,20,No,Warm,No,Yes,13,45,Blue;Green;Multiple,No,Yes,No,Iridescent,75,Tolerant,0,Learning,Poor,Good,Basic,5,2,No,Colonial,No,Feathers;Ornamental,15,Ground Level,Seeds;Insects;Plants,No,Foraging,Non-Burrowing
Penguin,Bird,No,No,Yes,2,Coastal,Carnivore,Yes,No,15,No,No,No,No,No,No,Yes,Yes,No,20,No,Cold,No,No,50,36,Black;White,Yes,Yes,No,Bi-colored,32,Tolerant,0,Complex Learner,Poor,Professional,Basic,1,1,No,Colonial,No,Tourism,1000,Ground Level,Fish;Squid,Seasonal,Diving;Swimming,Non-Burrowing
Pig,Mammal,No,Fur,No,4,Various,Omnivore,No,No,11,No,No,Yes,No,No,No,No,Yes,No,15,Yes,Warm,Yes,No,600,36,Pink;Black,No,Yes,No,Solid,70,Dependent,0,Complex Learner,Poor,Poor,Basic Vocalizations,0,0,No,Colonial,No,Meat;Leather,20,Ground Level,Roots;Fruits;Everything,No,Rooting;Foraging,Tunneling
Pigeon,Bird,No,No,Yes,2,Urban,Omnivore,Yes,Yes,25,No,No,Yes,No,No,No,No,Yes,No,6,No,Warm,Yes,Yes,0.69,12.5,Gray;Various,No,Yes,No,Various,65,Social,0.1,Learning,Poor,Poor,Basic,2,6,No,Colonial,No,Racing;Research,50,Building Ledges,Seeds;Human Food,No,Ground Feeding;Pecking,Non-Burrowing
Platypus,Mammal,No,Fur,No,4,River,Carnivore,Yes,No,15,No,No,No,Venomous,Yes,No,Yes,Yes,No,17,No,Cold,No,No,5,20,Brown,Yes,Yes,No,Solid,65,Fearful,0.5,Learning,Poor,Professional,Basic,2,2,No,Solitary,No,Tourism,1,River Bank,Insects;Crustaceans,No,Electroreception;Diving,Non-Burrowing
Polar Bear,Mammal,No,Fur,No,4,Arctic,Carnivore,No,No,25,No,No,No,No,No,No,Yes,No,No,25,Yes,Cold,No,No,1200,60,White,Yes,Yes,No,Solid,30,Fearful,1000,Complex Learner,Poor,Professional,Basic,0,1,No,Solitary,No,Tourism;Fur,1,Snow Den,Seals;Fish,Seasonal,Still Hunting;Stalking,Burrow User
Porcupine,Mammal,No,Fur,No,4,Various,Herbivore,No,No,2,No,No,No,No,Yes,No,No,No,No,15,Yes,Warm,No,No,20,30,Brown;Black,No,Yes,No,Solid,70,Fearful,0.2,Learning,Good,Poor,Basic,0,0,No,Solitary,No,Tourism,1,Ground Level,Bark;Plants;Fruits,No,Grazing,Non-Burrowing
Prairie Dog,Mammal,No,Fur,No,4,Grassland,Herbivore,No,No,10,No,No,No,No,No,Yes,No,Yes,No,8,Yes,Warm,No,No,2,12,Brown,No,Yes,No,Solid,75,Cautious,1,Complex Learner,Poor,Poor,Complex,0,1,Yes,Colonial,Yes,Research;Education,200,Underground,Grass;Seeds;Roots,No,Grazing;Social Foraging,Tunneling
Praying Mantis,Insect,No,No,No,6,Various,Carnivore,Yes,Yes,0.1,Yes,No,No,No,Yes,No,No,No,No,1,No,Warm,No,Yes,0.01,4,Green;Brown,No,No,No,Solid,75,Neutral,0.01,Learning,Poor,Poor,None,200,1,No,Solitary,No,Pest Control;Education,1,Plants,Insects,No,Ambush;Grabbing,Non-Burrowing
Pygmy Goat,Mammal,No,Fur,No,4,Domestic,Herbivore,No,No,15,No,No,Yes,No,No,No,No,Yes,No,12,Yes,Warm,Yes,No,50,20,Multiple,No,Yes,No,Various,70,Dependent,0,Complex Learner,Good,Poor,Basic,0,1.2,No,Colonial,No,Pets;Milk;Meat,10,Ground Level,Grass;Leaves,No,Browsing;Grazing,Non-Burrowing
Python,Reptile,Yes,No,No,0,Various,Carnivore,Yes,No,1,No,No,No,No,Yes,No,No,Yes,No,25,Yes,Warm,Yes,No,250,144,Multiple,No,No,No,Mottled,85,Fearful,0.1,Learning,Professional,Poor,Basic,8,1,No,Solitary,No,Pets;Leather,1,Ground Level,Mammals;Birds,No,Constriction;Ambush,Burrow User
Quail,Bird,No,No,Yes,2,Various,Omnivore,Yes,Yes,20,No,No,Yes,No,No,No,No,Yes,No,4,No,Warm,Yes,Yes,0.3,7,Brown;White,No,Yes,No,Speckled,72,Dependent,0,Learning,Poor,Poor,Basic,12,1,No,Colonial,No,Meat;Eggs;Pets,15,Ground Cover,Seeds;Insects,Some,Ground Feeding;Scratching,Simple Burrower
Rabbit,Mammal,No,Fur,No,4,Various,Herbivore,No,No,35,No,No,Yes,No,Yes,No,No,Yes,No,10,Yes,Warm,Yes,No,8,8,Multiple,No,Yes,No,Various,70,Dependent,0,Learning,Poor,Poor,Basic,0,0,No,Colonial,No,Meat;Fur;Pets,8,Underground,Grass;Vegetables,No,Foraging,Tunneling
Raccoon,Mammal,No,Fur,No,4,Various,Omnivore,No,No,15,No,No,No,No,Yes,No,No,No,No,3,Yes,Warm,No,No,20,24,Gray;Black,No,Yes,No,Masked,65,Tolerant,1,Tool User,Excellent,Good,Basic,0,0,No,Family,Simple,Tourism,4,Tree Cavity,Fruits;Small Animals;Human Food,No,Tool Use;Foraging,Non-Burrowing
Rat,Mammal,No,Fur,No,4,Various,Omnivore,No,No,8,No,No,No,No,Yes,No,No,Yes,No,2,Yes,Warm,Yes,No,0.5,7,Brown;Black,No,Yes,No,Solid,72,Tolerant,0.01,Complex Learner,Excellent,Poor,Basic,0,0,Yes,Colonial,Simple,Research;Pets,12,Underground,Seeds;Human Food;Everything,No,Foraging,Tunneling
Red Panda,Mammal,No,Fur,No,4,Forest,Herbivore,No,No,24,No,No,No,No,No,No,No,No,No,12,Yes,Cold,No,No,10,24,Red;White,Yes,Yes,No,Bi-colored,65,Cautious,1,Complex Learner,Professional,Poor,Basic,0,1,No,Solitary,No,Tourism,1,Tree Hollow,Bamboo;Fruits;Leaves,No,Foraging;Climbing,Non-Burrowing
Red Snapper,Fish,Yes,No,No,0,Marine,Carnivore,Yes,No,25,No,No,No,No,No,No,Yes,No,No,20,Yes,Warm,No,No,50,36,Red;Silver,Yes,Yes,Yes,Solid,72,Neutral,10,Learning,Poor,Professional,None,10000,4,No,School,No,Food,50,Ocean Floor,Fish;Crustaceans,No,Active Hunting;Ambush,Non-Burrowing
Red-tailed Hawk,Bird,No,No,Yes,2,Various,Carnivore,Yes,Yes,120,No,No,No,No,No,No,No,No,No,20,No,Warm,No,Yes,3,22,Brown;Red,No,Yes,No,Mottled,70,Fearful,2,Complex Learner,Professional,Excellent,Basic,3,1,No,Pairs,No,Tourism;Education,2,Tree Top;Cliff,Small Mammals;Birds,Some,Soaring;Diving,Non-Burrowing
Rhinoceros,Mammal,No,Fur,No,4,Grassland,Herbivore,No,No,34,No,No,No,No,No,No,No,No,No,45,Yes,Warm,No,No,4000,70,Gray,Yes,Yes,No,Solid,80,Aggressive,10,Learning,Poor,Poor,Basic,0,0,No,Solitary,No,Horn;Tourism,1,Ground Level,Grass;Leaves,No,Grazing,Non-Burrowing
Ring-necked Pheasant,Bird,No,No,Yes,2,Grassland,Omnivore,Yes,Yes,35,No,No,Yes,No,No,No,No,Yes,No,3,No,Warm,Yes,Yes,2.75,22,Multiple;Iridescent,No,Yes,No,Patterned,70,Cautious,1,Learning,Poor,Poor,Basic,12,1,No,Small Groups,No,Meat;Sport;Feathers,10,Ground Cover,Seeds;Insects,No,Ground Feeding;Scratching,Non-Burrowing
Robin,Bird,No,No,Yes,2,Various,Omnivore,Yes,Yes,20,No,No,No,No,No,No,No,Yes,No,2,No,Warm,No,Yes,0.17,6,Brown;Red,No,Yes,No,Solid,65,Tolerant,0.1,Learning,Poor,Poor,Basic,4,2,No,Pairs,No,Tourism;Education,2,Tree Branch,Worms;Insects,Some,Ground Feeding;Probing,Non-Burrowing
Russian Tortoise,Reptile,Yes,No,No,4,Desert,Herbivore,Yes,No,0.2,No,No,Yes,No,No,Yes,No,No,No,50,No,Warm,Yes,No,2.2,8,Brown;Black,No,Yes,No,Shell Pattern,75,Dependent,0,Learning,Poor,Poor,Basic,3,1.4,No,Solitary,No,Pets;Education,1,Burrow,Vegetables;Plants,No,Grazing;Browsing,Simple Burrower
Salmon,Fish,Yes,No,No,0,Marine;River,Carnivore,Yes,No,20,No,No,No,No,No,No,Yes,Yes,No,8,Yes,Cold,No,No,30,36,Silver;Pink,Yes,Yes,Yes,Solid,50,Neutral,1000,Learning,Poor,Professional,None,5000,1,No,School,No,Food,1000,Gravel Bed,Fish;Krill,Yes,Filter Feeding,Non-Burrowing
Sea Lion,Mammal,No,Fur,No,4,Coastal,Carnivore,No,No,25,No,No,No,No,No,No,Yes,Yes,No,20,Yes,Cold,No,No,700,84,Brown,No,Yes,Yes,Solid,60,Social,5,Complex Learner,Poor,Professional,Basic,0,1,No,Colonial,No,Tourism,100,Beach,Fish;Squid,Seasonal,Pursuit Swimming;Ambush,Non-Burrowing
Sea Turtle,Reptile,Yes,No,No,4,Marine,Omnivore,Yes,No,22,No,No,No,No,No,No,Yes,No,No,80,No,Warm,No,No,350,48,Green;Brown,Yes,Yes,No,Shell Pattern,75,Cautious,1000,Learning,Poor,Professional,Basic,100,2,No,Solitary,No,Tourism;Conservation,1,Beach,Jellyfish;Seagrass,Yes,Active Swimming;Grazing,Non-Burrowing
Seagull,Bird,No,No,Yes,2,Coastal,Omnivore,Yes,Yes,25,No,No,No,No,No,No,No,Yes,No,10,No,Warm,No,Yes,2.5,24,White;Gray,No,Yes,No,Solid,65,Social,10,Complex Learner,Poor,Good,Basic,3,1,No,Colonial,No,Research;Education,100,Ground;Cliff,Fish;Human Food,Yes,Scavenging;Diving,Non-Burrowing
Seahorse,Fish,Yes,No,No,0,Ocean,Carnivore,Yes,No,0.1,Yes,No,No,No,No,No,Yes,No,No,4,No,Warm,No,No,0.01,6,Multiple,Yes,Yes,Yes,Solid,72,Neutral,0.001,Learning,Poor,Professional,None,200,3,No,Pairs,No,Pets,2,Coral,Plankton;Tiny Crustaceans,No,Suction Feeding,Non-Burrowing
Seal,Mammal,No,Fur,No,4,Coastal,Carnivore,No,No,23,No,No,No,No,No,No,Yes,Yes,No,30,Yes,Cold,No,No,250,72,Gray,No,Yes,No,Solid,45,Cautious,10,Complex Learner,Poor,Professional,Basic,0,0,No,Colonial,No,Fur;Meat,50,Beach,Fish;Squid,Seasonal,Diving;Swimming,Non-Burrowing
Shark,Fish,Yes,No,No,0,Ocean,Carnivore,Yes,No,35,No,No,No,No,No,No,Yes,Yes,Some,25,Yes,Warm,No,No,2000,180,Gray;White;Black,Yes,Yes,Yes,Solid,65,Fearful,500,Learning,Poor,Professional,None,8,1,No,Solitary,No,Fins;Meat,1,Open Ocean,Fish;Marine Mammals,Ocean,Ambush;Pursuit,Non-Burrowing
Sheep,Mammal,No,Fur,No,4,Various,Herbivore,No,No,25,No,No,Yes,No,No,No,No,Yes,No,12,Yes,Cold,No,No,200,30,White;Black;Brown,No,Yes,No,Solid,65,Dependent,0,Learning,Poor,Poor,Basic Vocalizations,0,0,No,Colonial,No,Wool;Meat;Milk,50,Ground Level,Grass;Plants,No,Grazing,Non-Burrowing
Shoebill Stork,Bird,No,No,Yes,2,Wetland,Carnivore,Yes,Yes,15,No,No,No,No,No,No,No,No,No,35,No,Warm,No,Yes,12,60,Gray;Blue,Yes,Yes,No,Solid,80,Cautious,1,Complex Learner,Poor,Professional,Basic,3,1,No,Pairs,No,Tourism,2,Ground Level,Fish;Amphibians,No,Stand Hunting;Crushing,Non-Burrowing
Shrimp,Crustacean,No,No,No,10,Marine,Omnivore,Yes,No,8,No,No,No,No,Yes,No,Yes,Yes,No,2,No,Warm,No,No,0.1,8,Pink;Gray,No,Yes,No,Translucent,70,Neutral,0.1,Simple,Poor,Professional,None,100,4,No,School,No,Food,100,Ocean Floor,Plankton;Detritus,No,Filter Feeding,Non-Burrowing
Skunk,Mammal,No,Fur,No,4,Various,Omnivore,No,No,10,No,No,No,No,Yes,No,No,No,No,7,Yes,Warm,No,No,8,10,Black;White;Gray,No,Yes,No,Striped,70,Fearful,0.5,Learning,Poor,Poor,Basic,0,0,No,Solitary,Complex,Tourism,1,Underground,Insects;Plants;Small Animals,No,Foraging,Burrow User
Sloth,Mammal,No,Fur,No,4,Forest,Herbivore,No,No,0.15,No,No,No,No,Yes,No,No,No,No,25,Yes,Warm,No,No,15,24,Brown;Gray,Yes,Yes,No,Solid,80,Neutral,0.1,Learning,Professional,Poor,Basic,0,0,No,Solitary,No,Tourism,1,Tree Branch,Leaves;Fruits,No,Grazing,Non-Burrowing
Snow Goose,Bird,No,No,Yes,2,Arctic,Herbivore,Yes,Yes,45,No,No,No,No,No,No,Yes,Yes,No,15,No,Cold,No,Yes,7,28,White;Black,No,Yes,No,Two-toned,45,Cautious,2,Learning,Poor,Good,Basic,4,0.5,No,Colonial,No,Meat;Down;Tourism,50,Ground Near Water,Plants;Seeds,Seasonal,Grazing;Dabbling,Non-Burrowing
Spider,Arachnid,No,Hair,No,8,Various,Carnivore,Yes,No,1,No,No,No,Venomous,Yes,Yes,No,Yes,No,2,No,Cold,No,No,0.01,1,Multiple,Yes,No,No,Various,72,Neutral,0.01,Learning,Good,Poor,None,100,1,No,Solitary,No,Unknown,1,Web,Insects;Small Animals,No,Web Trapping;Ambush,Non-Burrowing
Spotted Salamander,Amphibian,No,No,No,4,Forest,Carnivore,Yes,No,0.5,No,No,No,No,Yes,No,No,No,Yes,20,No,Cold,No,No,0.25,6,Black;Yellow,No,Yes,No,Spotted,65,Neutral,0.1,Learning,Poor,Poor,Basic,200,2,No,Solitary,No,Research;Education,1,Forest Floor,Insects;Worms,Seasonal,Ambush;Tongue Strike,Simple Burrower
Squirrel,Mammal,No,No,No,4,Various,Omnivore,No,No,20,No,No,No,No,No,Yes,No,No,No,6,Yes,Warm,No,No,1.5,8,Gray;Red;Brown,No,Yes,No,Solid,70,Tolerant,0.1,Complex Learner,Professional,Poor,Basic,0,0,Yes,Colonial,Complex,Tourism,10,Tree Cavity,Nuts;Seeds;Fruits,No,Foraging,Non-Burrowing
Starfish,Echinoderm,No,No,No,5,Ocean,Carnivore,Yes,No,0.1,Yes,No,No,No,No,No,Yes,Yes,No,35,No,Warm,No,No,0.25,8,Red;Orange;Yellow;Purple;Blue,Yes,No,No,Solid,65,Neutral,0.01,Simple,Poor,Professional,None,1000000,1,No,Solitary,No,Unknown,1,Reef,Mollusks;Small Animals,No,Stomach Eversion,Non-Burrowing
Sugar Glider,Mammal,No,Fur,No,4,Forest,Omnivore,No,Glides,15,No,Yes,Yes,No,Yes,No,No,Yes,No,12,Yes,Warm,Yes,No,0.3,6,Gray;White,No,Yes,No,Solid,75,Dependent,0,Complex Learner,Professional,Poor,Basic,0,1,No,Colonial,Simple,Pets;Research,8,Tree Hollow,Insects;Fruits,No,Gliding;Pouncing,Non-Burrowing
Swan,Bird,No,No,Yes,2,Wetland,Omnivore,Yes,Yes,50,No,No,No,No,No,No,Yes,Yes,No,20,No,Warm,No,Yes,20,48,White;Black,No,Yes,No,Solid,65,Tolerant,1,Learning,Poor,Good,Basic,6,1,No,Pairs,No,Ornamental;Down,2,Ground Level,Plants;Small Fish;Insects,Seasonal,Swimming;Foraging,Non-Burrowing
Swordfish,Fish,Yes,No,No,0,Marine,Carnivore,Yes,No,68,No,No,No,No,No,No,Yes,No,No,15,Yes,Warm,No,No,200,120,Blue;Silver,Yes,Yes,Yes,Solid,70,Fearful,1000,Learning,Poor,Professional,None,4000000,1,No,Solitary,No,Food,1,Open Ocean,Fish;Squid,Yes,Spearing,Non-Burrowing
Thorny Devil,Reptile,Yes,No,No,4,Desert,Carnivore,Yes,No,2,Yes,No,No,No,No,No,No,No,No,20,No,Warm,No,No,0.2,8,Brown;Tan,No,Yes,No,Spiky,95,Fearful,0.1,Learning,Poor,Poor,Basic,8,1.4,No,Solitary,No,Tourism;Research,1,Sand Burrow,Ants,No,Ambush;Tongue Capture,Non-Burrowing
Tiger,Mammal,No,Fur,No,4,Forest,Carnivore,No,No,40,No,No,No,No,Yes,No,No,No,No,20,Yes,Warm,No,No,500,36,Orange;Black,Yes,Yes,No,Striped,75,Fearful,40,Complex Learner,Good,Good,Basic Vocalizations,0,0,No,Solitary,No,Tourism,1,Cave,Large Mammals;Medium Mammals,No,Stalking;Ambush,Burrow User
Tilapia,Fish,Yes,No,No,0,Freshwater,Omnivore,Yes,No,4,No,No,Yes,No,No,No,Yes,Yes,No,10,Yes,Warm,No,No,4,16,Gray;Silver,No,Yes,Yes,Solid,75,Dependent,0,Learning,Poor,Poor,None,200,4,No,School,No,Food;Aquaculture,100,Sandy Depression,Plants;Plankton,No,Filter Feeding;Grazing,Non-Burrowing
Toad,Amphibian,No,No,No,4,Various,Carnivore,Yes,No,5,No,No,No,Poisonous,Yes,No,Yes,No,Yes,10,No,Cold,No,No,0.5,4,Brown;Green,No,No,No,Mottled,65,Neutral,0.01,Learning,Poor,Poor,Basic,1000,1,No,Solitary,No,Pets;Research,1,Ground Level,Insects;Small Animals,No,Tongue Catching,Non-Burrowing
Tuatara,Reptile,Yes,No,No,4,Island;Temperate,Carnivore,Yes,No,5,No,No,No,No,Yes,No,No,No,No,100,Yes,Cold,No,No,2.2,24,Gray;Olive,Yes,Yes,No,Solid,65,Fearful,0.1,Learning,Good,Poor,Basic,10,2,No,Solitary,No,Tourism;Conservation,1,Burrow,Insects;Small Vertebrates,No,Ambush;Stalking,Simple Burrower
Tuna,Fish,Yes,No,No,0,Marine,Carnivore,Yes,No,47,No,No,No,No,No,No,Yes,Yes,No,20,Yes,Warm,No,No,1000,72,Blue;Silver,Yes,Yes,Yes,Solid,70,Neutral,1000,Learning,Poor,Professional,None,1000000,1,No,School,No,Food,100,Open Ocean,Fish;Squid,Yes,Pack Hunting,Non-Burrowing
Turkey,Bird,No,No,Yes,2,Various,Omnivore,Yes,Yes,25,No,No,Yes,No,No,No,No,Yes,No,10,No,Warm,Yes,Yes,30,45,Brown;Black,No,Yes,No,Solid,70,Dependent,0,Learning,Poor,Good,Basic,12,2,No,Colonial,No,Meat;Feathers,20,Ground Level,Seeds;Insects;Plants,No,Foraging,Non-Burrowing
Vulture,Bird,No,No,Yes,2,Various,Carnivore,Yes,Yes,40,No,No,No,No,No,No,No,Yes,No,35,No,Warm,No,Yes,25,45,Black;Brown;White,Yes,Yes,No,Solid,80,Cautious,100,Complex Learner,Poor,Good,Basic,2,1,No,Colonial,No,Pets,20,Cliff Face,Carrion,Seasonal,Scavenging,Non-Burrowing
Walrus,Mammal,No,Fur,No,4,Arctic,Carnivore,No,No,22,No,No,No,No,No,No,Yes,Yes,No,40,Yes,Cold,No,No,2200,96,Brown,No,Yes,Yes,Solid,32,Cautious,10,Complex Learner,Poor,Professional,Basic,0,0,No,Colonial,No,Ivory;Meat,100,Ice Sheet,Mollusks;Fish,Seasonal,Diving;Tusking,Non-Burrowing
Warthog,Mammal,No,Fur,No,4,Savanna,Omnivore,No,No,30,No,No,No,No,No,No,No,Yes,No,15,Yes,Warm,No,No,250,30,Gray,No,Yes,No,Solid,80,Cautious,1,Complex Learner,Poor,Poor,Basic,0,0,No,Colonial,No,Meat,20,Underground,Roots;Plants;Small Animals,No,Rooting,Tunneling
Water Buffalo,Mammal,No,Fur,No,4,Wetland,Herbivore,No,No,30,No,No,Yes,No,No,No,No,Yes,No,25,Yes,Warm,No,No,2000,70,Black;Gray,No,Yes,No,Solid,75,Dependent,0,Learning,Poor,Good,Basic,0,1,No,Colonial,No,Meat;Milk;Labor,50,Ground Level,Grass;Aquatic Plants,No,Grazing;Wading,Non-Burrowing
White-breasted Nuthatch,Bird,No,No,Yes,2,Forest,Omnivore,Yes,Yes,18,No,No,No,No,No,No,No,Yes,No,2,No,Cold,No,Yes,0.054,5.8,Blue;White;Black,No,Yes,No,Patterned,65,Tolerant,0.1,Learning,Professional,Poor,Basic,8,1,No,Pairs,Simple,Tourism;Education,2,Tree Cavity,Insects;Seeds,No,Bark Gleaning;Probing,Non-Burrowing
White-tailed Deer,Mammal,No,Fur,No,4,Forest,Herbivore,No,No,30,No,No,No,No,Yes,No,No,Yes,No,15,Yes,Warm,No,No,150,36,Brown;White,No,Yes,No,Solid,65,Cautious,2,Learning,Good,Poor,Basic,0,1,No,Groups,No,Meat;Hide;Tourism,8,Ground Cover,Grass;Leaves;Twigs,Some,Browsing;Grazing,Non-Burrowing
Wolf,Mammal,No,Fur,No,4,Various,Carnivore,No,No,40,No,No,No,No,Yes,No,No,Yes,No,13,Yes,Cold,No,No,100,32,Gray,Yes,Yes,No,Solid,45,Cautious,100,Complex Learner,Good,Poor,Complex Vocalizations,0,0,No,Family,Simple,Tourism,8,Cave,Large Mammals;Medium Mammals,Irregular,Pack Hunting;Pursuit,Burrow User
Wolverine,Mammal,No,Fur,No,4,Arctic,Carnivore,No,No,30,No,No,No,No,Yes,No,No,No,No,13,Yes,Cold,No,No,35,16,Brown,No,Yes,No,Solid,32,Aggressive,200,Complex Learner,Good,Poor,Basic,0,0,No,Solitary,Simple,Fur,1,Cave,Medium Mammals;Carrion,No,Scavenging;Hunting,Non-Burrowing
Wombat,Mammal,No,Fur,No,4,Grassland,Herbivore,No,No,25,No,Yes,No,No,Yes,No,No,No,No,15,Yes,Warm,No,No,60,24,Brown,No,Yes,No,Solid,70,Cautious,0.1,Learning,Poor,Poor,Basic,0,0,No,Solitary,No,Tourism,1,Underground,Grass;Roots;Bark,No,Grazing,Tunneling
Woodpecker,Bird,No,No,Yes,2,Forest,Insectivore,Yes,Yes,22,No,No,No,No,No,No,No,No,No,10,No,Warm,No,Yes,0.3,10,Black;White;Red,No,Yes,No,Spotted,65,Tolerant,0.1,Complex Learner,Professional,Poor,Basic,4,1,No,Solitary,Simple,Pets,1,Tree Cavity,Insects;Tree Sap,Some,Drilling;Probing,Non-Burrowing
Zebra,Mammal,No,Fur,No,4,Grassland,Herbivore,No,No,40,No,No,No,No,No,No,No,Yes,No,25,Yes,Warm,No,No,770,60,Black;White,Yes,Yes,No,Striped,80,Cautious,1,Learning,Poor,Poor,Basic,0,1,No,Colonial,No,Tourism,50,Ground Level,Grass;Leaves,Seasonal,Grazing;Social Feeding,Non-Burrowing
